run_id,queue,arrival_rate,service_duration,num_agents,patience_limit,avg_wait,served,reneged
171,Random,1.5,1.5,1,3.5,21.82874620849688,50,0
172,FIFO,1.5,1.5,2,2.5,2.9903567546463603,50,0
173,Priority,1.5,1.5,2,2.5,5.779973801811022,50,0
174,Random,1.5,1.5,2,2.5,6.297827045538697,50,0
175,FIFO,1.5,1.5,2,3.0,1.9931770852038702,50,0
176,Priority,1.5,1.5,2,3.0,0.5722728883624235,50,0
177,Random,1.5,1.5,2,3.0,2.3271332647878786,50,0
178,FIFO,1.5,1.5,2,3.5,1.1669907336875531,50,0
179,Priority,1.5,1.5,2,3.5,0.935782168731589,50,0
180,Random,1.5,1.5,2,3.5,8.177193896110737,50,0
181,FIFO,1.5,1.5,3,2.5,0.4015490338229069,50,0
182,Priority,1.5,1.5,3,2.5,0.14430883010599524,50,0
183,Random,1.5,1.5,3,2.5,0.3088448803742775,50,0
184,FIFO,1.5,1.5,3,3.0,0.4061895550160812,50,0
185,Priority,1.5,1.5,3,3.0,0.22293873418774574,50,0
186,Random,1.5,1.5,3,3.0,0.36469135938841857,50,0
187,FIFO,1.5,1.5,3,3.5,0.18946614056267883,50,0
188,Priority,1.5,1.5,3,3.5,0.30334046027065925,50,0
189,Random,1.5,1.5,3,3.5,0.5908235174590316,50,0
190,FIFO,1.5,2.0,1,2.5,20.534050555965276,39,11
191,Priority,1.5,2.0,1,2.5,21.199420728440174,38,12
192,Random,1.5,2.0,1,2.5,14.845890714639088,38,12
193,FIFO,1.5,2.0,1,3.0,26.16169833228102,44,6
194,Priority,1.5,2.0,1,3.0,28.894172427933974,45,5
195,Random,1.5,2.0,1,3.0,21.84666575784276,44,6
196,FIFO,1.5,2.0,1,3.5,26.143602704769133,46,4
197,Priority,1.5,2.0,1,3.5,33.290624414206476,48,2
198,Random,1.5,2.0,1,3.5,19.61965049179716,44,6
199,FIFO,1.5,2.0,2,2.5,3.0559955478320195,37,13
200,Priority,1.5,2.0,2,2.5,1.7550727317499275,38,12
201,Random,1.5,2.0,2,2.5,2.0572832177854004,35,15
202,FIFO,1.5,2.0,2,3.0,0.9533608185379482,42,8
203,Priority,1.5,2.0,2,3.0,8.814023005105497,47,3
204,Random,1.5,2.0,2,3.0,7.540357506139482,43,7
205,FIFO,1.5,2.0,2,3.5,2.2383974853771513,45,5
206,Priority,1.5,2.0,2,3.5,7.463089676407922,46,4
207,Random,1.5,2.0,2,3.5,9.241977696630148,48,2
208,FIFO,1.5,2.0,3,2.5,0.9668379963773057,39,11
209,Priority,1.5,2.0,3,2.5,0.6995274934206318,42,8
210,Random,1.5,2.0,3,2.5,1.0164056914420112,42,8
211,FIFO,1.5,2.0,3,3.0,0.26037898075116617,40,10
212,Priority,1.5,2.0,3,3.0,0.8589164444630049,42,8
213,Random,1.5,2.0,3,3.0,0.7798836584334743,46,4
214,FIFO,1.5,2.0,3,3.5,2.162460916090251,45,5
215,Priority,1.5,2.0,3,3.5,2.0163077674072145,49,1
216,Random,1.5,2.0,3,3.5,1.118718579698919,47,3
217,FIFO,1.5,2.5,1,2.5,5.251431118169006,19,31
218,Priority,1.5,2.5,1,2.5,0.5523179308775515,8,42
219,Random,1.5,2.5,1,2.5,1.6363960672312954,12,38
220,FIFO,1.5,2.5,1,3.0,10.301540108637601,27,23
221,Priority,1.5,2.5,1,3.0,10.245209802346126,20,30
222,Random,1.5,2.5,1,3.0,13.911970318611514,25,25
223,FIFO,1.5,2.5,1,3.5,27.220047076446075,35,15
224,Priority,1.5,2.5,1,3.5,24.636544612077763,29,21
225,Random,1.5,2.5,1,3.5,30.43231103127664,36,14
226,FIFO,1.5,2.5,2,2.5,0.3839236033701836,17,33
227,Priority,1.5,2.5,2,2.5,0.2938796137439113,14,36
228,Random,1.5,2.5,2,2.5,0.3942171158098226,11,39
229,FIFO,1.5,2.5,2,3.0,3.132368979203177,28,22
230,Priority,1.5,2.5,2,3.0,2.67651204118121,30,20
231,Random,1.5,2.5,2,3.0,0.9884698625811954,25,25
232,FIFO,1.5,2.5,2,3.5,4.2414991535611195,38,12
233,Priority,1.5,2.5,2,3.5,3.4628077720485275,33,17
234,Random,1.5,2.5,2,3.5,6.756170469286122,34,16
235,FIFO,1.5,2.5,3,2.5,0.0,16,34
236,Priority,1.5,2.5,3,2.5,0.0,8,42
237,Random,1.5,2.5,3,2.5,0.042772699386013587,15,35
238,FIFO,1.5,2.5,3,3.0,0.09035645505437072,18,32
239,Priority,1.5,2.5,3,3.0,0.08266489245150765,19,31
240,Random,1.5,2.5,3,3.0,0.43442634739828145,31,19
241,FIFO,1.5,2.5,3,3.5,0.5569216975271885,32,18
242,Priority,1.5,2.5,3,3.5,2.924234405442986,38,12
243,Random,1.5,2.5,3,3.5,0.6129984945848521,37,13
