run_id,queue_type,mode,customer_name,arrival,start,waiting_time,service_time,status,was_helpful,satisfaction_rating
SCEN_Pessimistic,FIFO,RNG,FIFO_Customer_1,0.0,0.0,0.0,2.1458854554057383,served,,
SCEN_Pessimistic,FIFO,RNG,FIFO_Customer_2,0.8777781055040933,2.1458854554057383,1.268107349901645,2.3665623533755102,served,,
SCEN_Pessimistic,FIFO,RNG,FIFO_Customer_3,1.224870351279195,4.512447808781248,3.287577457502053,2.6935972075549883,reneged,,
SCEN_Pessimistic,FIFO,RNG,FIFO_Customer_4,1.7140705465988275,4.512447808781248,2.7983772621824206,2.627822702117939,served,,
SCEN_Pessimistic,FIFO,RNG,FIFO_Customer_5,2.522574016883305,7.140270510899187,4.617696494015882,2.5338629845598573,reneged,,
SCEN_Pessimistic,FIFO,RNG,FIFO_Customer_6,2.7609968452577203,7.140270510899187,4.379273665641467,2.3729086035393556,reneged,,
SCEN_Pessimistic,FIFO,RNG,FIFO_Customer_7,3.665889566781043,7.140270510899187,3.474380944118144,2.589580764654775,reneged,,
SCEN_Pessimistic,FIFO,RNG,FIFO_Customer_8,3.9832841752598003,7.140270510899187,3.156986335639387,2.1116914918764405,reneged,,
SCEN_Pessimistic,FIFO,RNG,FIFO_Customer_9,5.232298891973569,7.140270510899187,1.9079716189256182,2.177629820404528,served,,
SCEN_Pessimistic,FIFO,RNG,FIFO_Customer_10,5.290087091520197,9.317900331303715,4.027813239783518,2.447334662579794,served,,
SCEN_Pessimistic,FIFO,RNG,FIFO_Customer_11,5.837203320587928,11.765234993883508,5.92803167329558,2.6051446156793308,reneged,,
SCEN_Pessimistic,FIFO,RNG,FIFO_Customer_12,8.564324166683079,11.765234993883508,3.2009108272004294,1.8907015317238194,served,,
SCEN_Pessimistic,FIFO,RNG,FIFO_Customer_13,9.67276363274069,13.655936525607327,3.9831728928666372,2.18863717810595,reneged,,
SCEN_Pessimistic,FIFO,RNG,FIFO_Customer_14,9.7112365832117,13.655936525607327,3.9446999423956264,2.2817231513714935,reneged,,
SCEN_Pessimistic,FIFO,RNG,FIFO_Customer_15,10.06734886845617,13.655936525607327,3.588587657151157,2.025492510670645,served,,
SCEN_Pessimistic,FIFO,RNG,FIFO_Customer_16,10.729955101700716,15.681429036277972,4.9514739345772565,1.8897057105271635,served,,
SCEN_Pessimistic,FIFO,RNG,FIFO_Customer_17,11.703230473139872,17.571134746805136,5.867904273665264,2.4068170722481965,served,,
SCEN_Pessimistic,FIFO,RNG,FIFO_Customer_18,12.175780880440263,19.97795181905333,7.802170938613068,2.3709096892849435,served,,
SCEN_Pessimistic,FIFO,RNG,FIFO_Customer_19,13.79281747344951,22.348861508338274,8.556044034888764,2.287224065917554,served,,
SCEN_Pessimistic,FIFO,RNG,FIFO_Customer_20,14.138014111814623,24.636085574255826,10.498071462441203,1.9011139209232253,served,,
SCEN_Pessimistic,FIFO,RNG,FIFO_Customer_21,14.380470205914376,26.537199495179053,12.156729289264677,2.2672733505442744,served,,
SCEN_Pessimistic,FIFO,RNG,FIFO_Customer_22,14.915803027550982,28.80447284572333,13.888669818172346,2.595589817781572,reneged,,
SCEN_Pessimistic,FIFO,RNG,FIFO_Customer_23,17.92066338376692,28.80447284572333,10.883809461956407,1.7686799522783407,served,,
SCEN_Pessimistic,FIFO,RNG,FIFO_Customer_24,18.349905555145693,30.57315279800167,12.223247242855976,2.312263653236225,reneged,,
SCEN_Pessimistic,FIFO,RNG,FIFO_Customer_25,18.35534401524638,30.57315279800167,12.217808782755288,1.7061850354606776,served,,
SCEN_Pessimistic,FIFO,RNG,FIFO_Customer_26,18.70588340659849,32.27933783346235,13.573454426863861,1.7850176682723076,served,,
SCEN_Pessimistic,FIFO,RNG,FIFO_Customer_27,19.35291592549032,34.06435550173466,14.711439576244342,2.638921616813434,reneged,,
SCEN_Pessimistic,FIFO,RNG,FIFO_Customer_28,19.809838478305206,34.06435550173466,14.254517023429454,1.8740136844297597,served,,
SCEN_Pessimistic,FIFO,RNG,FIFO_Customer_29,20.290757400937487,35.93836918616442,15.647611785226935,2.5392649589745337,reneged,,
SCEN_Pessimistic,FIFO,RNG,FIFO_Customer_30,21.052885700588657,35.93836918616442,14.885483485575765,1.8708892392743972,served,,
SCEN_Pessimistic,FIFO,RNG,FIFO_Customer_31,21.494927470186084,37.80925842543882,16.314330955252736,2.5449696018716277,reneged,,
SCEN_Pessimistic,FIFO,RNG,FIFO_Customer_32,21.917410381795886,37.80925842543882,15.891848043642934,2.067253301808225,served,,
SCEN_Pessimistic,FIFO,RNG,FIFO_Customer_33,22.39242553235375,39.87651172724704,17.48408619489329,2.675480952722385,reneged,,
SCEN_Pessimistic,FIFO,RNG,FIFO_Customer_34,23.35117979564702,39.87651172724704,16.52533193160002,2.3537304153343697,reneged,,
SCEN_Pessimistic,FIFO,RNG,FIFO_Customer_35,24.180613468177775,39.87651172724704,15.695898259069267,2.5499676586173754,reneged,,
SCEN_Pessimistic,FIFO,RNG,FIFO_Customer_36,24.299968556391313,39.87651172724704,15.576543170855729,2.149266602360812,served,,
SCEN_Pessimistic,FIFO,RNG,FIFO_Customer_37,24.841037721620715,42.02577832960785,17.184740607987138,1.7286860545629525,served,,
SCEN_Pessimistic,FIFO,RNG,FIFO_Customer_38,25.326703685866057,43.7544643841708,18.427760698304745,1.88257493949014,served,,
SCEN_Pessimistic,FIFO,RNG,FIFO_Customer_39,26.084048032430267,45.63703932366094,19.552991291230676,1.9834738571008872,served,,
